NRIC,PLATE,MOD8,MOD7,,,,table slot,mod 7,mod 8,,,,
22383,125675,7,4,,,,,,,,,,
75062,125676,6,1,,,,,,,,,,
84246,125677,6,1,,,,,,,,,,
23320,125678,0,3,,,,,,,,,,
38697,125679,1,1,,,,,,,,,,
23319,125680,7,2,,,,,,,,,,
91286,125681,6,6,,,,,,,,,,
16583,125682,7,0,,,,,,,,,,
43623,125683,7,6,,,,,,,,,,
23126,125684,6,5,,,,,,,,,,
42896,125685,0,0,,,,,,,,,,
23852,125686,4,3,,,,,,,,,,
77597,125687,5,2,,,,,,,,,,
16098,125688,2,5,,,,,,,,,,
54652,125689,4,3,,,,,,,,,,
17360,125690,0,0,,,,,,,,,,
55265,125691,1,0,,,,,,,,,,
51091,125692,3,5,,,,,,,,,,
39157,125693,5,6,,,,,,,,,,
41122,125694,2,4,,,,,,,,,,
57001,125695,1,0,,,,,,,,,,
33096,125696,0,0,,,,,,,,,,
29048,125697,0,5,,,,,,,,,,
59610,125698,2,5,,,,,,,,,,
57094,125699,6,2,,,,,,,,,,
92055,125700,7,5,,,,,,,,,,
68008,125701,0,3,,,,,,,,,,
82008,125702,0,3,,,,,,,,,,
95083,125703,3,2,,,,,,,,,,
20875,125704,3,1,,,,,,,,,,
41710,125705,6,4,,,,,,,,,,
81568,125706,0,4,,,,,,,,,,
56297,125707,1,3,,,,,,,,,,
30983,125708,7,1,,,,,,,,,,
95366,125709,6,5,,,,,,,,,,
18302,125710,6,4,,,,,,,,,,
42571,125711,3,4,,,,,,,,,,
36070,125712,6,6,,,,,,,,,,
14196,125713,4,0,,,,,,,,,,
26736,125714,0,3,,,,,,,,,,
27397,125715,5,6,,,,,,,,,,
61494,125716,6,6,,,,,,,,,,
55099,125717,3,2,,,,,,,,,,
31158,125718,6,1,,,,,,,,,,
83039,125719,7,5,,,,,,,,,,
10959,125720,7,4,,,,,,,,,,
49700,125721,4,0,,,,,,,,,,
80689,125722,1,0,,,,,,,,,,
72127,125723,7,6,,,,,,,,,,
35408,125724,0,2,,,,,,,,,,
59263,125725,7,1,,,,,,,,,,
89889,125726,1,2,,,,,,,,,,
91532,125727,4,0,,,,,,,,,,
53894,125728,6,1,,,,,,,,,,
89806,125729,6,3,,,,,,,,,,
40383,125730,7,0,,,,,,,,,,
15475,125731,3,5,,,,,,,,,,
70900,125732,4,4,,,,,,,,,,
16258,125733,2,4,,,,,,,,,,
95191,125734,7,5,,,,,,,,,,
69064,125735,0,2,,,,,,,,,,
88445,125736,5,0,,,,,,,,,,
96853,125737,5,1,,,,,,,,,,
93496,125738,0,4,,,,,,,,,,
86374,125739,6,1,,,,,,,,,,
19371,125740,3,2,,,,,,,,,,
88608,125741,0,2,,,,,,,,,,
37964,125742,4,3,,,,,,,,,,
49574,125743,6,0,,,,,,,,,,
64174,125744,6,5,,,,,,,,,,
85201,125745,1,4,,,,,,,,,,
45714,125746,2,4,,,,,,,,,,
90136,125747,0,4,,,,,,,,,,
53992,125748,0,1,,,,,,,,,,
22910,125749,6,6,,,,,,,,,,
68829,125750,5,5,,,,,,,,,,
44862,125751,6,6,,,,,,,,,,
94194,125752,2,2,,,,,,,,,,
32962,125753,2,6,,,,,,,,,,
47592,125754,0,6,,,,,,,,,,
59991,125755,7,1,,,,,,,,,,
63297,125756,1,3,,,,,,,,,,
59692,125757,4,3,,,,,,,,,,
47906,125758,2,5,,,,,,,,,,
31934,125759,6,0,,,,,,,,,,
98238,125760,6,0,,,,,,,,,,
60255,125761,7,6,,,,,,,,,,
84244,125762,4,6,,,,,,,,,,
82402,125763,2,5,,,,,,,,,,
72923,125764,3,4,,,,,,,,,,
94159,125765,7,2,,,,,,,,,,
19617,125766,1,3,,,,,,,,,,
53591,125767,7,6,,,,,,,,,,
35326,125768,6,4,,,,,,,,,,
60711,125769,7,0,,,,,,,,,,
96749,125770,5,2,,,,,,,,,,
96796,125771,4,0,,,,,,,,,,
72269,125772,5,1,,,,,,,,,,
69866,125773,2,6,,,,,,,,,,
96445,125774,5,6,,,,,,,,,,
78362,125775,2,4,,,,,,,,,,
77983,125776,7,3,,,,,,,,,,
90773,125777,5,4,,,,,,,,,,
87607,125778,7,2,,,,,,,,,,
79924,125779,4,5,,,,,,,,,,
95770,125780,2,3,,,,,,,,,,
96654,125781,6,5,,,,,,,,,,
37977,125782,1,2,,,,,,,,,,
34133,125783,5,1,,,,,,,,,,
84477,125784,5,1,,,,,,,,,,
29468,125785,4,5,,,,,,,,,,
78387,125786,3,1,,,,,,,,,,
21993,125787,1,6,,,,,,,,,,
40931,125788,3,2,,,,,,,,,,
88572,125789,4,1,,,,,,,,,,
16113,125790,1,6,,,,,,,,,,
93627,125791,3,2,,,,,,,,,,
83066,125792,2,4,,,,,,,,,,
93444,125793,4,1,,,,,,,,,,
33573,125794,5,1,,,,,,,,,,
57927,125795,7,2,,,,,,,,,,
23086,125796,6,0,,,,,,,,,,
24024,125797,0,0,,,,,,,,,,
32426,125798,2,2,,,,,,,,,,
96359,125799,7,4,,,,,,,,,,
94589,125800,5,5,,,,,,,,,,
46933,125801,5,5,,,,,,,,,,
42875,125802,3,0,,,,,,,,,,
16586,125803,2,3,,,,,,,,,,
29551,125804,7,4,,,,,,,,,,
64597,125805,5,1,,,,,,,,,,
48117,125806,5,6,,,,,,,,,,
56002,125807,2,2,,,,,,,,,,
16708,125808,4,6,,,,,,,,,,
90012,125809,4,6,,,,,,,,,,
59126,125810,6,4,,,,,,,,,,
83217,125811,1,1,,,,,,,,,,
14744,125812,0,2,,,,,,,,,,
89435,125813,3,3,,,,,,,,,,
18556,125814,4,6,,,,,,,,,,
98204,125815,4,1,,,,,,,,,,
25790,125816,6,2,,,,,,,,,,
86019,125817,3,3,,,,,,,,,,
70386,125818,2,1,,,,,,,,,,
95831,125819,7,1,,,,,,,,,,
21992,125820,0,5,,,,,,,,,,
47865,125821,1,6,,,,,,,,,,
82144,125822,0,6,,,,,,,,,,
57863,125823,7,1,,,,,,,,,,
42732,125824,4,4,,,,,,,,,,
46284,125825,4,0,,,,,,,,,,
95634,125826,2,0,,,,,,,,,,
75235,125827,3,6,,,,,,,,,,
70929,125828,1,5,,,,,,,,,,
41461,125829,5,0,,,,,,,,,,
26908,125830,4,0,,,,,,,,,,
21103,125831,7,5,,,,,,,,,,
98457,125832,1,2,,,,,,,,,,
98970,125833,2,4,,,,,,,,,,
40563,125834,3,5,,,,,,,,,,
40406,125835,6,2,,,,,,,,,,
27508,125836,4,5,,,,,,,,,,
32004,125837,4,0,,,,,,,,,,
22836,125838,4,2,,,,,,,,,,
11172,125839,4,0,,,,,,,,,,
44520,125840,0,0,,,,,,,,,,
20594,125841,2,0,,,,,,,,,,
31651,125842,3,4,,,,,,,,,,
55351,125843,7,2,,,,,,,,,,
65055,125844,7,4,,,,,,,,,,
66266,125845,2,4,,,,,,,,,,
59952,125846,0,4,,,,,,,,,,
12309,125847,5,3,,,,,,,,,,
39237,125848,5,2,,,,,,,,,,
48283,125849,3,4,,,,,,,,,,
64632,125850,0,1,,,,,,,,,,
39440,125851,0,2,,,,,,,,,,
73259,125852,3,4,,,,,,,,,,
10208,125853,0,2,,,,,,,,,,
20199,125854,7,4,,,,,,,,,,
82391,125855,7,1,,,,,,,,,,
81565,125856,5,1,,,,,,,,,,
57498,125857,2,0,,,,,,,,,,
75625,125858,1,4,,,,,,,,,,
93172,125859,4,2,,,,,,,,,,
95275,125860,3,5,,,,,,,,,,
29466,125861,2,3,,,,,,,,,,
94281,125862,1,5,,,,,,,,,,
48947,125863,3,3,,,,,,,,,,
29609,125864,1,6,,,,,,,,,,
79913,125865,1,1,,,,,,,,,,
15803,125866,3,4,,,,,,,,,,
46369,125867,1,1,,,,,,,,,,
23044,125868,4,0,,,,,,,,,,
73632,125869,0,6,,,,,,,,,,
35166,125870,6,5,,,,,,,,,,
21527,125871,7,2,,,,,,,,,,
15960,125872,0,0,,,,,,,,,,
21204,125873,4,1,,,,,,,,,,
62617,125874,1,2,,,,,,,,,,
23787,125875,3,1,,,,,,,,,,
78041,125876,1,5,,,,,,,,,,
51695,125877,7,0,,,,,,,,,,
18521,125878,1,6,,,,,,,,,,
25212,125879,4,5,,,,,,,,,,
12152,125880,0,0,,,,,,,,,,
76356,125881,4,0,,,,,,,,,,
98533,125882,5,1,,,,,,,,,,
50784,125883,0,6,,,,,,,,,,
75010,125884,2,5,,,,,,,,,,
42245,125885,5,0,,,,,,,,,,
29487,125886,7,3,,,,,,,,,,
48306,125887,2,6,,,,,,,,,,
42516,125888,4,5,,,,,,,,,,
51735,125889,7,5,,,,,,,,,,
14784,125890,0,0,,,,,,,,,,
15593,125891,1,4,,,,,,,,,,
42939,125892,3,1,,,,,,,,,,
61202,125893,2,1,,,,,,,,,,
38501,125894,5,1,,,,,,,,,,
27596,125895,4,2,,,,,,,,,,
84131,125896,3,5,,,,,,,,,,
44501,125897,5,2,,,,,,,,,,
44979,125898,3,4,,,,,,,,,,
95562,125899,2,5,,,,,,,,,,
66239,125900,7,5,,,,,,,,,,
55009,125901,1,3,,,,,,,,,,
50647,125902,7,2,,,,,,,,,,
47711,125903,7,6,,,,,,,,,,
11865,125904,1,0,,,,,,,,,,
49980,125905,4,0,,,,,,,,,,
11581,125906,5,3,,,,,,,,,,
91423,125907,7,3,,,,,,,,,,
25949,125908,5,0,,,,,,,,,,
18380,125909,4,5,,,,,,,,,,
75294,125910,6,2,,,,,,,,,,
61702,125911,6,4,,,,,,,,,,
97396,125912,4,5,,,,,,,,,,
67904,125913,0,4,,,,,,,,,,
77976,125914,0,3,,,,,,,,,,
57406,125915,6,6,,,,,,,,,,
42665,125916,1,0,,,,,,,,,,
27605,125917,5,4,,,,,,,,,,
97932,125918,4,2,,,,,,,,,,
64398,125919,6,5,,,,,,,,,,
16226,125920,2,0,,,,,,,,,,
35221,125921,5,4,,,,,,,,,,
66596,125922,4,5,,,,,,,,,,
60982,125923,6,5,,,,,,,,,,
20959,125924,7,1,,,,,,,,,,
29475,125925,3,5,,,,,,,,,,
88271,125926,7,1,,,,,,,,,,
43757,125927,5,0,,,,,,,,,,
50830,125928,6,3,,,,,,,,,,
50526,125929,6,0,,,,,,,,,,
54474,125930,2,0,,,,,,,,,,
57166,125931,6,4,,,,,,,,,,
38668,125932,4,0,,,,,,,,,,
45690,125933,2,1,,,,,,,,,,
28654,125934,6,3,,,,,,,,,,
82563,125935,3,5,,,,,,,,,,
88955,125936,3,6,,,,,,,,,,
48834,125937,2,2,,,,,,,,,,
47942,125938,6,6,,,,,,,,,,
97387,125939,3,3,,,,,,,,,,
25540,125940,4,4,,,,,,,,,,
76830,125941,6,5,,,,,,,,,,
96975,125942,7,4,,,,,,,,,,
96132,125943,4,1,,,,,,,,,,
74921,125944,1,0,,,,,,,,,,
53133,125945,5,3,,,,,,,,,,
54172,125946,4,6,,,,,,,,,,
45749,125947,5,4,,,,,,,,,,
87664,125948,0,3,,,,,,,,,,
86986,125949,2,4,,,,,,,,,,
92447,125950,7,5,,,,,,,,,,
73983,125951,7,0,,,,,,,,,,
33237,125952,5,1,,,,,,,,,,
82607,125953,7,0,,,,,,,,,,
95631,125954,7,4,,,,,,,,,,
88567,125955,7,3,,,,,,,,,,
40568,125956,0,3,,,,,,,,,,
32910,125957,6,3,,,,,,,,,,
32493,125958,5,6,,,,,,,,,,
70633,125959,1,3,,,,,,,,,,
91942,125960,6,4,,,,,,,,,,
76431,125961,7,5,,,,,,,,,,
56618,125962,2,2,,,,,,,,,,
46736,125963,0,4,,,,,,,,,,
85868,125964,4,6,,,,,,,,,,
54272,125965,0,1,,,,,,,,,,
49053,125966,5,4,,,,,,,,,,
26082,125967,2,0,,,,,,,,,,
76032,125968,0,5,,,,,,,,,,
88191,125969,7,5,,,,,,,,,,
11797,125970,5,2,,,,,,,,,,
53576,125971,0,5,,,,,,,,,,
71564,125972,4,3,,,,,,,,,,
45675,125973,3,0,,,,,,,,,,
71420,125974,4,6,,,,,,,,,,
59855,125975,7,5,,,,,,,,,,
14555,125976,3,2,,,,,,,,,,
12569,125977,1,4,,,,,,,,,,
97295,125978,7,2,,,,,,,,,,
11779,125979,3,5,,,,,,,,,,
55591,125980,7,4,,,,,,,,,,
44242,125981,2,2,,,,,,,,,,
52924,125982,4,4,,,,,,,,,,
95658,125983,2,3,,,,,,,,,,
47668,125984,4,5,,,,,,,,,,
96193,125985,1,6,,,,,,,,,,
56445,125986,5,4,,,,,,,,,,
42981,125987,5,1,,,,,,,,,,
96412,125988,4,1,,,,,,,,,,
11946,125989,2,4,,,,,,,,,,
92328,125990,0,5,,,,,,,,,,
94262,125991,6,0,,,,,,,,,,
31296,125992,0,6,,,,,,,,,,
69854,125993,6,1,,,,,,,,,,
67374,125994,6,6,,,,,,,,,,
96773,125995,5,5,,,,,,,,,,
25344,125996,0,4,,,,,,,,,,
19734,125997,6,1,,,,,,,,,,
91639,125998,7,2,,,,,,,,,,
84998,125999,6,4,,,,,,,,,,
48744,126000,0,3,,,,,,,,,,
71892,126001,4,2,,,,,,,,,,
62260,126002,4,2,,,,,,,,,,
23777,126003,1,5,,,,,,,,,,
73611,126004,3,6,,,,,,,,,,
83608,126005,0,0,,,,,,,,,,
57597,126006,5,1,,,,,,,,,,
19937,126007,1,1,,,,,,,,,,
57952,126008,0,6,,,,,,,,,,
86612,126009,4,1,,,,,,,,,,
68595,126010,3,2,,,,,,,,,,
83864,126011,0,4,,,,,,,,,,
80250,126012,2,2,,,,,,,,,,
28935,126013,7,4,,,,,,,,,,
63662,126014,6,4,,,,,,,,,,
70332,126015,4,3,,,,,,,,,,
74022,126016,6,4,,,,,,,,,,
37499,126017,3,0,,,,,,,,,,
97105,126018,1,1,,,,,,,,,,
72777,126019,1,5,,,,,,,,,,
11125,126020,5,2,,,,,,,,,,
12252,126021,4,2,,,,,,,,,,
35572,126022,4,5,,,,,,,,,,
10214,126023,6,1,,,,,,,,,,
78822,126024,6,2,,,,,,,,,,
90429,126025,5,3,,,,,,,,,,
96376,126026,0,0,,,,,,,,,,
54036,126027,4,3,,,,,,,,,,
25468,126028,4,2,,,,,,,,,,
78393,126029,1,0,,,,,,,,,,
70537,126030,1,5,,,,,,,,,,
41730,126031,2,3,,,,,,,,,,
74357,126032,5,3,,,,,,,,,,
61739,126033,3,6,,,,,,,,,,
84290,126034,2,3,,,,,,,,,,
12405,126035,5,1,,,,,,,,,,
99251,126036,3,5,,,,,,,,,,
92812,126037,4,6,,,,,,,,,,
43969,126038,1,2,,,,,,,,,,
47686,126039,6,2,,,,,,,,,,
89335,126040,7,1,,,,,,,,,,
87881,126041,1,3,,,,,,,,,,
25956,126042,4,0,,,,,,,,,,
23277,126043,5,2,,,,,,,,,,
92622,126044,6,5,,,,,,,,,,
66081,126045,1,1,,,,,,,,,,
81359,126046,7,5,,,,,,,,,,
97901,126047,5,6,,,,,,,,,,
98013,126048,5,6,,,,,,,,,,
61062,126049,6,1,,,,,,,,,,
45579,126050,3,2,,,,,,,,,,
22955,126051,3,2,,,,,,,,,,
42100,126052,4,2,,,,,,,,,,
94131,126053,3,2,,,,,,,,,,
33718,126054,6,6,,,,,,,,,,
84234,126055,2,3,,,,,,,,,,
50617,126056,1,0,,,,,,,,,,
81005,126057,5,1,,,,,,,,,,
21560,126058,0,0,,,,,,,,,,
41183,126059,7,2,,,,,,,,,,
45861,126060,5,4,,,,,,,,,,
85738,126061,2,2,,,,,,,,,,
93198,126062,6,0,,,,,,,,,,
82064,126063,0,3,,,,,,,,,,
76074,126064,2,5,,,,,,,,,,
10598,126065,6,0,,,,,,,,,,
62622,126066,6,0,,,,,,,,,,
26615,126067,7,1,,,,,,,,,,
86610,126068,2,6,,,,,,,,,,
56173,126069,5,5,,,,,,,,,,
16956,126070,4,2,,,,,,,,,,
81380,126071,4,5,,,,,,,,,,
77250,126072,2,5,,,,,,,,,,
30086,126073,6,0,,,,,,,,,,
47144,126074,0,6,,,,,,,,,,
32406,126075,6,3,,,,,,,,,,
49217,126076,1,0,,,,,,,,,,
65859,126077,3,3,,,,,,,,,,
33918,126078,6,3,,,,,,,,,,
64329,126079,1,6,,,,,,,,,,
69958,126080,6,0,,,,,,,,,,
19126,126081,6,2,,,,,,,,,,
33810,126082,2,0,,,,,,,,,,
38485,126083,5,6,,,,,,,,,,
28805,126084,5,0,,,,,,,,,,
44499,126085,3,0,,,,,,,,,,
30263,126086,7,2,,,,,,,,,,
57603,126087,3,0,,,,,,,,,,
91411,126088,3,5,,,,,,,,,,
49988,126089,4,1,,,,,,,,,,
28442,126090,2,1,,,,,,,,,,
93121,126091,1,0,,,,,,,,,,
90696,126092,0,4,,,,,,,,,,
34636,126093,4,0,,,,,,,,,,
63431,126094,7,4,,,,,,,,,,
65273,126095,1,5,,,,,,,,,,
75317,126096,5,4,,,,,,,,,,
54206,126097,6,5,,,,,,,,,,
60683,126098,3,0,,,,,,,,,,
31894,126099,6,2,,,,,,,,,,
35345,126100,1,2,,,,,,,,,,
98260,126101,4,1,,,,,,,,,,
67217,126102,1,3,,,,,,,,,,
95239,126103,7,4,,,,,,,,,,
29724,126104,4,2,,,,,,,,,,
62383,126105,7,6,,,,,,,,,,
62449,126106,1,2,,,,,,,,,,
30400,126107,0,6,,,,,,,,,,
39521,126108,1,6,,,,,,,,,,
59946,126109,2,5,,,,,,,,,,
22518,126110,6,6,,,,,,,,,,
31712,126111,0,2,,,,,,,,,,
11926,126112,6,5,,,,,,,,,,
15801,126113,1,2,,,,,,,,,,
50634,126114,2,3,,,,,,,,,,
47154,126115,2,2,,,,,,,,,,
58608,126116,0,4,,,,,,,,,,
66506,126117,2,6,,,,,,,,,,
55985,126118,1,6,,,,,,,,,,
52234,126119,2,0,,,,,,,,,,
39200,126120,0,0,,,,,,,,,,
17017,126121,1,0,,,,,,,,,,
53720,126122,0,2,,,,,,,,,,
31469,126123,5,4,,,,,,,,,,
28725,126124,5,4,,,,,,,,,,
13769,126125,1,0,,,,,,,,,,
24194,126126,2,2,,,,,,,,,,
30739,126127,3,2,,,,,,,,,,
97991,126128,7,5,,,,,,,,,,
71791,126129,7,6,,,,,,,,,,
40443,126130,3,4,,,,,,,,,,
16570,126131,2,1,,,,,,,,,,
78860,126132,4,5,,,,,,,,,,
58679,126133,7,5,,,,,,,,,,
98976,126134,0,3,,,,,,,,,,
15634,126135,2,3,,,,,,,,,,
13782,126136,6,6,,,,,,,,,,
10159,126137,7,2,,,,,,,,,,
90860,126138,4,0,,,,,,,,,,
70189,126139,5,0,,,,,,,,,,
11008,126140,0,4,,,,,,,,,,
35172,126141,4,4,,,,,,,,,,
55953,126142,1,2,,,,,,,,,,
37422,126143,6,0,,,,,,,,,,
30176,126144,0,6,,,,,,,,,,
76225,126145,1,2,,,,,,,,,,
71533,126146,5,0,,,,,,,,,,
92292,126147,4,4,,,,,,,,,,
45463,126148,7,5,,,,,,,,,,
97297,126149,1,4,,,,,,,,,,
18479,126150,7,6,,,,,,,,,,
55964,126151,4,6,,,,,,,,,,
68480,126152,0,6,,,,,,,,,,
12757,126153,5,3,,,,,,,,,,
72102,126154,6,2,,,,,,,,,,
79564,126155,4,2,,,,,,,,,,
47648,126156,0,6,,,,,,,,,,
43582,126157,6,0,,,,,,,,,,
75068,126158,4,0,,,,,,,,,,
88897,126159,1,4,,,,,,,,,,
44412,126160,4,4,,,,,,,,,,
65663,126161,7,3,,,,,,,,,,
10889,126162,1,4,,,,,,,,,,
30776,126163,0,4,,,,,,,,,,
63088,126164,0,4,,,,,,,,,,
79408,126165,0,0,,,,,,,,,,
13824,126166,0,6,,,,,,,,,,
90763,126167,3,1,,,,,,,,,,
52588,126168,4,4,,,,,,,,,,
60906,126169,2,6,,,,,,,,,,
48270,126170,6,5,,,,,,,,,,
33454,126171,6,1,,,,,,,,,,
73579,126172,3,2,,,,,,,,,,
86284,126173,4,2,,,,,,,,,,
55079,126174,7,3,,,,,,,,,,
48257,126175,1,6,,,,,,,,,,
13827,126176,3,2,,,,,,,,,,
19484,126177,4,3,,,,,,,,,,
53033,126178,1,1,,,,,,,,,,
17685,126179,5,3,,,,,,,,,,
92129,126180,1,2,,,,,,,,,,
50437,126181,5,2,,,,,,,,,,
98071,126182,7,1,,,,,,,,,,
68334,126183,6,0,,,,,,,,,,
70444,126184,4,3,,,,,,,,,,
45103,126185,7,2,,,,,,,,,,
29762,126186,2,5,,,,,,,,,,
21756,126187,4,0,,,,,,,,,,
73396,126188,4,1,,,,,,,,,,
40163,126189,3,4,,,,,,,,,,
86570,126190,2,1,,,,,,,,,,
95065,126191,1,5,,,,,,,,,,
57409,126192,1,2,,,,,,,,,,
32443,126193,3,5,,,,,,,,,,
42764,126194,4,1,,,,,,,,,,
14866,126195,2,5,,,,,,,,,,
44559,126196,7,4,,,,,,,,,,
96819,126197,3,2,,,,,,,,,,
47044,126198,4,4,,,,,,,,,,
12526,126199,6,3,,,,,,,,,,
46625,126200,1,5,,,,,,,,,,
94049,126201,1,4,,,,,,,,,,
30370,126202,2,4,,,,,,,,,,
33348,126203,4,0,,,,,,,,,,
43881,126204,1,5,,,,,,,,,,
74660,126205,4,5,,,,,,,,,,
45685,126206,5,3,,,,,,,,,,
30630,126207,6,5,,,,,,,,,,
85566,126208,6,5,,,,,,,,,,
70990,126209,6,3,,,,,,,,,,
55138,126210,2,6,,,,,,,,,,
77676,126211,4,4,,,,,,,,,,
87049,126212,1,4,,,,,,,,,,
84459,126213,3,4,,,,,,,,,,
19663,126214,7,0,,,,,,,,,,
69496,126215,0,0,,,,,,,,,,
79032,126216,0,2,,,,,,,,,,
19946,126217,2,3,,,,,,,,,,
53661,126218,5,6,,,,,,,,,,
51858,126219,2,2,,,,,,,,,,
85073,126220,1,2,,,,,,,,,,
43459,126221,3,3,,,,,,,,,,
82238,126222,6,2,,,,,,,,,,
79020,126223,4,4,,,,,,,,,,
39581,126224,5,3,,,,,,,,,,
47134,126225,6,3,,,,,,,,,,
28291,126226,3,4,,,,,,,,,,
53538,126227,2,2,,,,,,,,,,
89961,126228,1,4,,,,,,,,,,
81422,126229,6,5,,,,,,,,,,
58058,126230,2,0,,,,,,,,,,
25957,126231,5,1,,,,,,,,,,
14934,126232,6,3,,,,,,,,,,
72377,126233,1,4,,,,,,,,,,
57782,126234,6,4,,,,,,,,,,
85547,126235,3,0,,,,,,,,,,
45049,126236,1,4,,,,,,,,,,
26184,126237,0,4,,,,,,,,,,
27962,126238,2,4,,,,,,,,,,
38506,126239,2,6,,,,,,,,,,
10246,126240,6,5,,,,,,,,,,
14986,126241,2,6,,,,,,,,,,
49062,126242,6,6,,,,,,,,,,
14199,126243,7,3,,,,,,,,,,
43808,126244,0,2,,,,,,,,,,
53754,126245,2,1,,,,,,,,,,
63887,126246,7,5,,,,,,,,,,
65610,126247,2,6,,,,,,,,,,
93201,126248,1,3,,,,,,,,,,
84308,126249,4,0,,,,,,,,,,
39695,126250,7,5,,,,,,,,,,
43986,126251,2,5,,,,,,,,,,
59252,126252,4,4,,,,,,,,,,
95235,126253,3,0,,,,,,,,,,
91929,126254,1,5,,,,,,,,,,
69040,126255,0,6,,,,,,,,,,
95810,126256,2,1,,,,,,,,,,
16843,126257,3,1,,,,,,,,,,
62952,126258,0,1,,,,,,,,,,
14937,126259,1,6,,,,,,,,,,
71557,126260,5,3,,,,,,,,,,
98956,126261,4,4,,,,,,,,,,
57556,126262,4,2,,,,,,,,,,
11404,126263,4,1,,,,,,,,,,
22913,126264,1,2,,,,,,,,,,
89356,126265,4,1,,,,,,,,,,
81989,126266,5,5,,,,,,,,,,
54596,126267,4,3,,,,,,,,,,
97025,126268,1,5,,,,,,,,,,
30865,126269,1,2,,,,,,,,,,
34911,126270,7,2,,,,,,,,,,
87504,126271,0,4,,,,,,,,,,
28146,126272,2,6,,,,,,,,,,
28207,126273,7,4,,,,,,,,,,
10059,126274,3,0,,,,,,,,,,
12316,126275,4,3,,,,,,,,,,
65013,126276,5,4,,,,,,,,,,
32627,126277,3,0,,,,,,,,,,
82467,126278,3,0,,,,,,,,,,
85425,126279,1,4,,,,,,,,,,
40492,126280,4,4,,,,,,,,,,
50669,126281,5,3,,,,,,,,,,
52955,126282,3,0,,,,,,,,,,
11617,126283,1,4,,,,,,,,,,
57746,126284,2,3,,,,,,,,,,
12793,126285,1,4,,,,,,,,,,
58563,126286,3,1,,,,,,,,,,
95264,126287,0,1,,,,,,,,,,
86928,126288,0,2,,,,,,,,,,
99642,126289,2,4,,,,,,,,,,
42651,126290,3,0,,,,,,,,,,
52867,126291,3,3,,,,,,,,,,
71735,126292,7,6,,,,,,,,,,
21328,126293,0,6,,,,,,,,,,
87742,126294,6,4,,,,,,,,,,
82579,126295,3,0,,,,,,,,,,
39549,126296,5,6,,,,,,,,,,
40562,126297,2,4,,,,,,,,,,
29717,126298,5,2,,,,,,,,,,
35855,126299,7,1,,,,,,,,,,
97280,126300,0,1,,,,,,,,,,
91028,126301,4,0,,,,,,,,,,
35147,126302,3,0,,,,,,,,,,
12594,126303,2,1,,,,,,,,,,
68890,126304,2,3,,,,,,,,,,
10829,126305,5,0,,,,,,,,,,
55708,126306,4,2,,,,,,,,,,
32643,126307,3,2,,,,,,,,,,
67361,126308,1,0,,,,,,,,,,
10393,126309,1,5,,,,,,,,,,
37316,126310,4,6,,,,,,,,,,
55675,126311,3,4,,,,,,,,,,
63587,126312,3,6,,,,,,,,,,
29295,126313,7,0,,,,,,,,,,
45640,126314,0,0,,,,,,,,,,
91183,126315,7,1,,,,,,,,,,
22236,126316,4,4,,,,,,,,,,
30932,126317,4,6,,,,,,,,,,
76550,126318,6,5,,,,,,,,,,
67383,126319,7,1,,,,,,,,,,
91922,126320,2,5,,,,,,,,,,
46877,126321,5,5,,,,,,,,,,
27775,126322,7,6,,,,,,,,,,
96937,126323,1,1,,,,,,,,,,
52187,126324,3,2,,,,,,,,,,
68803,126325,3,0,,,,,,,,,,
73630,126326,6,4,,,,,,,,,,
73597,126327,5,6,,,,,,,,,,
62122,126328,2,4,,,,,,,,,,
18759,126329,7,6,,,,,,,,,,
74923,126330,3,2,,,,,,,,,,
35651,126331,3,0,,,,,,,,,,
98539,126332,3,0,,,,,,,,,,
57473,126333,1,3,,,,,,,,,,
49593,126334,1,5,,,,,,,,,,
50937,126335,1,5,,,,,,,,,,
87367,126336,7,0,,,,,,,,,,
14186,126337,2,4,,,,,,,,,,
24567,126338,7,4,,,,,,,,,,
31788,126339,4,1,,,,,,,,,,
67405,126340,5,2,,,,,,,,,,
80814,126341,6,6,,,,,,,,,,
72776,126342,0,4,,,,,,,,,,
22795,126343,3,3,,,,,,,,,,
83902,126344,6,0,,,,,,,,,,
31054,126345,6,2,,,,,,,,,,
52250,126346,2,2,,,,,,,,,,
49930,126347,2,6,,,,,,,,,,
37097,126348,1,4,,,,,,,,,,
81882,126349,2,3,,,,,,,,,,
12880,126350,0,0,,,,,,,,,,
78775,126351,7,4,,,,,,,,,,
45990,126352,6,0,,,,,,,,,,
79451,126353,3,1,,,,,,,,,,
98667,126354,3,2,,,,,,,,,,
10019,126355,3,2,,,,,,,,,,
52186,126356,2,1,,,,,,,,,,
90196,126357,4,1,,,,,,,,,,
13496,126358,0,0,,,,,,,,,,
43999,126359,7,4,,,,,,,,,,
69091,126360,3,1,,,,,,,,,,
76579,126361,3,6,,,,,,,,,,
32008,126362,0,4,,,,,,,,,,
75849,126363,1,4,,,,,,,,,,
14548,126364,4,2,,,,,,,,,,
83307,126365,3,0,,,,,,,,,,
87825,126366,1,3,,,,,,,,,,
96158,126367,6,6,,,,,,,,,,
29201,126368,1,4,,,,,,,,,,
27910,126369,6,1,,,,,,,,,,
24785,126370,1,5,,,,,,,,,,
29157,126371,5,2,,,,,,,,,,
